"FullName","DirectoryName","Name","Length","LastWriteTime"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\JpGU\JpGU Poster 2025.png","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\JpGU","JpGU Poster 2025.png","5058734","2025/4/23 上午 07:47:29"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\TGA\林穎凡01.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\TGA","林穎凡01.jpg","63464","2025/5/28 下午 03:05:09"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\秋田TRT\terms_contour_1x3.png","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\秋田TRT","terms_contour_1x3.png","330772","2025/8/15 上午 09:57:33"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\農工研討會\林穎凡01.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\農工研討會","林穎凡01.jpg","63464","2025/8/7 下午 02:31:51"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工\1月16日 下午12-14\1月16日 下午12-14.m4a","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工\1月16日 下午12-14","1月16日 下午12-14.m4a","11132069","2026/1/16 下午 01:43:58"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\civil.png","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1","civil.png","1481748","2025/11/17 上午 09:05:06"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\USGA freshwater.png","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1","USGA freshwater.png","131925","2025/11/17 上午 09:18:01"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Animate.ipynb","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Animate.ipynb","12994386","2025/12/5 下午 02:04:42"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Darcy.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Darcy.jpg","404518","2025/12/5 上午 11:02:29"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Educational BG.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Educational BG.jpg","326093","2025/12/5 下午 03:25:05"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Fig2.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Fig2.jpg","563549","2025/12/5 上午 10:29:09"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Fig3.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Fig3.jpg","537839","2025/12/5 上午 10:30:02"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Fig4.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Fig4.jpg","509814","2025/12/5 上午 10:31:16"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Fig5.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Fig5.jpg","695399","2025/12/5 上午 10:31:45"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Krige.jpg","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Krige.jpg","439105","2025/12/5 下午 12:29:55"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Pattern_01_Smooth_Gaussian_Wide.png","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Pattern_01_Smooth_Gaussian_Wide.png","1254801","2025/12/5 下午 12:43:03"
"C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides\Pattern_02_Rough_ShortRange_Wide.png","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides","Pattern_02_Rough_ShortRange_Wide.png","2725154","2025/12/5 下午 12:43:04"
